date,close,high,low,open
2015.05.27 시작09:30,132.045,132.26,130.05,130.34
2015.05.28 시작09:30,131.78,131.95,131.1,131.86
2015.05.29 시작09:30,130.28,131.45,129.9,131.23
2015.06.01 시작09:30,130.535,131.39,130.05,131.2
2015.06.02 시작09:30,129.96,130.655,129.32,129.86
2015.06.03 시작09:30,130.12,130.94,129.9,130.66
2015.06.04 시작09:30,129.36,130.58,128.91,129.58
2015.06.05 시작09:30,128.65,129.69,128.36,129.5
2015.06.08 시작09:30,127.8,129.21,126.83,128.9
2015.06.09 시작09:30,127.42,128.08,125.62,126.7
2015.06.10 시작09:30,128.88,129.34,127.85,127.92
2015.06.11 시작09:30,128.59,130.18,128.475,129.18
2015.06.12 시작09:30,127.17,128.33,127.11,128.185
2015.06.15 시작09:30,126.92,127.24,125.71,126.1
2015.06.16 시작09:30,127.6,127.85,126.37,127.03
2015.06.17 시작09:30,127.3,127.88,126.74,127.72
2015.06.18 시작09:30,127.88,128.31,127.22,127.23
2015.06.19 시작09:30,126.6,127.82,126.4,127.71
2015.06.22 시작09:30,127.61,128.06,127.08,127.49
2015.06.23 시작09:30,127.03,127.61,126.8792,127.48
2015.06.24 시작09:30,128.11,129.8,127.12,127.21
2015.06.25 시작09:30,127.5,129.2,127.5,128.86
2015.06.26 시작09:30,126.75,127.99,126.51,127.67
2015.06.29 시작09:30,124.53,126.47,124.48,125.46
2015.06.30 시작09:30,125.425,126.12,124.86,125.57
2015.07.01 시작09:30,126.6,126.94,125.99,126.9
2015.07.02 시작09:30,126.44,126.69,125.77,126.43
2015.07.06 시작09:30,126.0,126.23,124.85,124.94
2015.07.07 시작09:30,125.69,126.15,123.77,125.89
2015.07.08 시작09:30,122.57,124.64,122.54,124.48
2015.07.09 시작09:30,120.07,124.06,119.22,123.85
2015.07.10 시작09:30,123.28,123.85,121.21,121.94
2015.07.13 시작09:30,125.66,125.755,124.32,125.03
2015.07.14 시작09:30,125.61,126.37,125.04,126.04
2015.07.15 시작09:30,126.82,127.15,125.58,125.72
2015.07.16 시작09:30,128.51,128.57,127.35,127.74
2015.07.17 시작09:30,129.62,129.62,128.31,129.08
2015.07.20 시작09:30,132.07,132.97,130.7,130.97
2015.07.21 시작09:30,130.75,132.92,130.32,132.85
2015.07.22 시작09:30,125.22,125.5,121.99,121.99
2015.07.23 시작09:30,125.16,127.09,125.06,126.2
2015.07.24 시작09:30,124.5,125.74,123.9,125.32
2015.07.27 시작09:30,122.77,123.61,122.12,123.09
2015.07.28 시작09:30,123.38,123.91,122.55,123.38
2015.07.29 시작09:30,122.99,123.5,122.27,123.15
2015.07.30 시작09:30,122.37,122.5699,121.71,122.32
2015.07.31 시작09:30,121.3,122.6425,120.91,122.6
2015.08.03 시작09:30,118.44,122.57,117.52,121.5
2015.08.04 시작09:30,114.64,117.7,113.25,117.42
2015.08.05 시작09:30,115.4,117.44,112.1,112.95
2015.08.06 시작09:30,115.13,116.5,114.115,115.97
2015.08.07 시작09:30,115.52,116.25,114.5,114.58
2015.08.10 시작09:30,119.72,119.99,116.53,116.53
2015.08.11 시작09:30,113.49,118.18,113.33,117.81
2015.08.12 시작09:30,115.24,115.42,109.63,112.53
2015.08.13 시작09:30,115.15,116.4,114.54,116.04
2015.08.14 시작09:30,115.96,116.31,114.01,114.32
2015.08.17 시작09:30,117.16,117.65,115.5,116.04
2015.08.18 시작09:30,116.5,117.44,116.01,116.43
2015.08.19 시작09:30,115.01,116.52,114.68,116.1
2015.08.20 시작09:30,112.65,114.35,111.63,114.08
2015.08.21 시작09:30,105.76,111.9,105.645,110.43
2015.08.24 시작09:30,103.12,108.8,92.0,94.87
2015.08.25 시작09:30,103.74,111.11,103.5,111.11
2015.08.26 시작09:30,109.69,109.89,105.05,107.085
2015.08.27 시작09:30,112.92,113.24,110.02,112.25
2015.08.28 시작09:30,113.29,113.31,111.54,112.17
2015.08.31 시작09:30,112.76,114.53,112.0,112.13
2015.09.01 시작09:30,107.72,111.88,107.36,110.18
2015.09.02 시작09:30,112.34,112.34,109.131,110.0
2015.09.03 시작09:30,110.37,112.78,110.04,112.49
2015.09.04 시작09:30,109.27,110.45,108.51,108.97
2015.09.08 시작09:30,112.31,112.56,110.32,111.65
2015.09.09 시작09:30,110.15,114.02,109.77,113.76
2015.09.10 시작09:30,112.57,113.2825,109.9,110.27
2015.09.11 시작09:30,114.21,114.21,111.76,111.79
2015.09.14 시작09:30,115.31,116.89,114.86,116.58
2015.09.15 시작09:30,116.28,116.53,114.42,115.93
2015.09.16 시작09:30,116.41,116.54,115.44,116.25
2015.09.17 시작09:30,113.92,116.49,113.715,115.66
2015.09.18 시작09:30,113.45,114.3,111.87,112.21
2015.09.21 시작09:30,115.21,115.37,113.66,113.67
2015.09.22 시작09:30,113.4,114.18,112.5201,113.38
2015.09.23 시작09:30,114.32,114.72,113.3,113.63
2015.09.24 시작09:30,115.0,115.5,112.37,113.25
2015.09.25 시작09:30,114.71,116.69,114.02,116.44
2015.09.28 시작09:30,112.44,114.57,112.44,113.85
2015.09.29 시작09:30,109.06,113.51,107.86,112.83
2015.09.30 시작09:30,110.3,111.54,108.73,110.17
2015.10.01 시작09:30,109.58,109.62,107.31,109.07
2015.10.02 시작09:30,110.38,111.0136,107.55,108.01
2015.10.05 시작09:30,110.78,111.3698,109.07,109.88
2015.10.06 시작09:30,111.31,111.74,109.765,110.63
2015.10.07 시작09:30,110.78,111.77,109.41,111.74
2015.10.08 시작09:30,109.5,110.19,108.21,110.19
2015.10.09 시작09:30,112.12,112.28,109.49,110.0
2015.10.12 시작09:30,111.6,112.75,111.44,112.73
2015.10.13 시작09:30,111.79,112.45,110.68,110.82
2015.10.14 시작09:30,110.21,111.52,109.56,111.29
2015.10.15 시작09:30,111.86,112.1,110.49,110.93
2015.10.16 시작09:30,111.04,112.0,110.53,111.78
2015.10.19 시작09:30,111.73,111.75,110.11,110.8
2015.10.20 시작09:30,113.77,114.17,110.82,111.34
2015.10.21 시작09:30,113.76,115.58,113.7,114.0
2015.10.22 시작09:30,115.5,115.5,114.1,114.33
2015.10.23 시작09:30,119.08,119.228,116.33,116.7
2015.10.26 시작09:30,115.28,118.13,114.92,118.08
2015.10.27 시작09:30,114.55,116.54,113.99,115.4
2015.10.28 시작09:30,119.27,119.3,116.06,116.93
2015.10.29 시작09:30,120.53,120.69,118.27,118.7
2015.10.30 시작09:30,119.5,121.22,119.45,120.99
2015.11.02 시작09:30,121.18,121.36,119.61,119.87
2015.11.03 시작09:30,122.57,123.49,120.7,120.79
2015.11.04 시작09:30,122.0,123.82,121.62,123.13
2015.11.05 시작09:30,120.92,122.69,120.18,121.85
2015.11.06 시작09:30,121.06,121.81,120.62,121.11
